Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2
Line.LINHA245,    50.6353,   -28.66,    50.6332,  -148.65,    50.6334,    91.34,          0,     0.00, 0.00469812,   -30.73,    50.6355,   151.34,    50.6333,    31.35,    50.6335,   -88.66,          0,     0.00,  0.0046932,   149.26
Line.LINHA246,    50.6355,   -28.66,    50.6333,  -148.65,    50.6335,    91.34,          0,     0.00,  0.0046932,   -30.74,    50.6356,   151.34,    50.6335,    31.35,    50.6337,   -88.66,          0,     0.00, 0.00468829,   149.26
Line.LINHA247,    50.6356,   -28.66,    50.6335,  -148.65,    50.6337,    91.34,          0,     0.00, 0.00468829,   -30.74,     50.636,   151.34,    50.6339,    31.34,     50.634,   -88.66,          0,     0.00, 0.00467355,   149.26
Line.LINHA248,     50.636,   -28.66,    50.6339,  -148.66,     50.634,    91.34,          0,     0.00, 0.00467355,   -30.74,    50.6364,   151.34,    50.6343,    31.34,    50.6344,   -88.66,          0,     0.00, 0.00465882,   149.26
Line.LINHA249,    1.29466,   -28.41,    1.29459,  -148.40,     1.2946,    91.59,          0,     0.00, 0.000159611,   -30.70,    1.29486,   151.58,    1.29479,    31.58,    1.29479,   -88.42,          0,     0.00, 0.000152244,   149.30
Line.LINHA250,    1.29486,   -28.42,    1.29479,  -148.42,    1.29479,    91.58,          0,     0.00, 0.000152244,   -30.70,    1.29499,   151.57,    1.29492,    31.57,    1.29493,   -88.43,          0,     0.00, 0.000147333,   149.30
Line.LINHA251,    1.29499,   -28.43,    1.29492,  -148.43,    1.29493,    91.57,          0,     0.00, 0.000147333,   -30.70,    1.29537,   151.53,    1.29531,    31.54,    1.29532,   -88.47,          0,     0.00,  0.0001326,   149.30
Line.LINHA252,    1.29537,   -28.47,    1.29531,  -148.46,    1.29532,    91.53,          0,     0.00,  0.0001326,   -30.70,    1.29576,   151.50,    1.29571,    31.50,    1.29571,   -88.50,          0,     0.00, 0.000117866,   149.30
Line.LINHA253,   0.647882,   -28.50,   0.647855,  -148.50,   0.647857,    91.50,          0,     0.00, 5.89331E-005,   -30.70,    0.64827,   151.44,    0.64825,    31.44,   0.648252,   -88.56,          0,     0.00, 4.41998E-005,   149.30
Line.LINHA254,    0.64827,   -28.56,    0.64825,  -148.56,   0.648252,    91.44,          0,     0.00, 4.41999E-005,   -30.70,    0.64866,   151.37,   0.648647,    31.38,   0.648648,   -88.63,          0,     0.00, 2.94666E-005,   149.30
Line.LINHA255,    0.64866,   -28.63,   0.648647,  -148.62,   0.648648,    91.37,          0,     0.00, 2.94666E-005,   -30.70,   0.649051,   151.31,   0.649044,    31.31,   0.649045,   -88.69,          0,     0.00, 1.47332E-005,   149.30
Line.LINHA256,   0.649051,   -28.69,   0.649044,  -148.69,   0.649045,    91.31,          0,     0.00, 1.47332E-005,   -30.70,   0.649442,   151.25,   0.649443,    31.25,   0.649442,   -88.75,          0,     0.00, 3.63798E-011,    53.13
