Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"2253", 13.8, 1,    7848.36,   -0.1,   0.98505, 2,    7848.46, -120.1,   0.98507, 3,    7848.45,  119.9,   0.98507
"2259", 13.8, 1,    7849.03,   -0.1,   0.98514, 2,    7849.13, -120.1,   0.98515, 3,    7849.11,  119.9,   0.98515
"2261", 13.8, 1,    7848.79,   -0.1,   0.98511, 2,    7848.89, -120.1,   0.98512, 3,    7848.88,  119.9,   0.98512
"2269", 13.8, 1,    7847.97,   -0.1,   0.98501, 2,    7848.07, -120.1,   0.98502, 3,    7848.06,  119.9,   0.98502
"2274", 13.8, 1,    7847.85,   -0.1,   0.98499, 2,    7847.96, -120.1,     0.985, 3,    7847.94,  119.9,     0.985
"2279", 13.8, 1,    7847.41,   -0.1,   0.98494, 2,    7847.52, -120.1,   0.98495, 3,     7847.5,  119.9,   0.98495
"2286", 13.8, 1,    7846.98,   -0.1,   0.98488, 2,    7847.08, -120.1,   0.98489, 3,    7847.07,  119.9,   0.98489
"2288", 13.8, 1,    7846.94,   -0.1,   0.98488, 2,    7847.05, -120.1,   0.98489, 3,    7847.03,  119.9,   0.98489
"2290", 13.8, 1,    7847.06,   -0.1,   0.98489, 2,    7847.16, -120.1,    0.9849, 3,    7847.15,  119.9,    0.9849
"2294", 13.8, 1,    7846.92,   -0.1,   0.98487, 2,    7847.02, -120.1,   0.98489, 3,    7847.01,  119.9,   0.98489
"2296", 13.8, 1,    7846.91,   -0.1,   0.98487, 2,    7847.02, -120.1,   0.98489, 3,       7847,  119.9,   0.98488
"2304", 13.8, 1,    7845.29,   -0.1,   0.98467, 2,    7845.39, -120.1,   0.98468, 3,    7845.38,  119.9,   0.98468
"2306", 13.8, 1,    7845.32,   -0.1,   0.98467, 2,    7845.43, -120.1,   0.98469, 3,    7845.41,  119.9,   0.98469
"2314", 13.8, 1,    7844.96,   -0.1,   0.98463, 2,    7845.07, -120.1,   0.98464, 3,    7845.06,  119.9,   0.98464
"2318", 13.8, 1,    7844.77,   -0.1,    0.9846, 2,    7844.87, -120.1,   0.98462, 3,    7844.86,  119.9,   0.98462
"2323", 13.8, 1,    7845.44,   -0.1,   0.98469, 2,    7845.54, -120.1,    0.9847, 3,    7845.53,  119.9,    0.9847
"2327", 13.8, 1,    7843.62,   -0.1,   0.98446, 2,    7843.73, -120.1,   0.98447, 3,    7843.71,  119.9,   0.98447
"2332", 13.8, 1,    7842.77,   -0.1,   0.98435, 2,    7842.88, -120.1,   0.98437, 3,    7842.87,  119.9,   0.98437
"2337", 13.8, 1,     7842.4,   -0.1,   0.98431, 2,    7842.51, -120.1,   0.98432, 3,     7842.5,  119.9,   0.98432
"2342", 13.8, 1,    7842.27,   -0.1,   0.98429, 2,    7842.38, -120.1,    0.9843, 3,    7842.37,  119.9,    0.9843
"2347", 13.8, 1,    7842.22,   -0.1,   0.98428, 2,    7842.33, -120.1,    0.9843, 3,    7842.31,  119.9,    0.9843
"2353", 13.8, 1,    7842.32,   -0.1,    0.9843, 2,    7842.43, -120.1,   0.98431, 3,    7842.42,  119.9,   0.98431
"2354", 13.8, 1,    7842.31,   -0.1,    0.9843, 2,    7842.41, -120.1,   0.98431, 3,     7842.4,  119.9,   0.98431
"2360", 13.8, 1,    7842.27,   -0.1,   0.98429, 2,    7842.37, -120.1,    0.9843, 3,    7842.36,  119.9,    0.9843
"2001", 13.8, 1,    7951.65,   -0.1,   0.99802, 2,    7951.65, -120.1,   0.99802, 3,    7951.65,  119.9,   0.99802
"2002", 13.8, 1,    7949.06,   -0.1,   0.99769, 2,    7949.07, -120.1,    0.9977, 3,    7949.07,  119.9,    0.9977
"2003", 13.8, 1,    7946.48,   -0.1,   0.99737, 2,    7946.49, -120.1,   0.99737, 3,    7946.49,  119.9,   0.99737
"2004", 13.8, 1,    7946.13,   -0.1,   0.99733, 2,    7946.15, -120.1,   0.99733, 3,    7946.14,  119.9,   0.99733
"2005", 13.8, 1,    7943.55,   -0.1,     0.997, 2,    7943.56, -120.1,     0.997, 3,    7943.56,  119.9,     0.997
"2006", 13.8, 1,    7940.97,   -0.1,   0.99668, 2,    7940.98, -120.1,   0.99668, 3,    7940.98,  119.9,   0.99668
"2007", 13.8, 1,    7938.38,   -0.1,   0.99635, 2,     7938.4, -120.1,   0.99636, 3,     7938.4,  119.9,   0.99636
"2008", 13.8, 1,     7935.8,   -0.1,   0.99603, 2,    7935.82, -120.1,   0.99603, 3,    7935.81,  119.9,   0.99603
