Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2
Line.LINHA223,    39.6184,  -173.84,    39.6185,    66.16,    39.6185,   -53.84,          0,     0.00, 0.000207797,   -30.50,    39.6185,     6.16,    39.6186,  -113.84,    39.6186,   126.16,          0,     0.00, 0.000192961,   149.50
Line.LINHA224,    39.6185,  -173.84,    39.6186,    66.16,    39.6186,   -53.84,          0,     0.00, 0.000192961,   -30.50,    39.6186,     6.16,    39.6186,  -113.84,    39.6187,   126.16,          0,     0.00, 0.000178124,   149.51
Line.LINHA225,    39.6186,  -173.84,    39.6186,    66.16,    39.6187,   -53.84,          0,     0.00, 0.000178124,   -30.49,    39.6187,     6.16,    39.6187,  -113.84,    39.6188,   126.16,          0,     0.00, 0.000163285,   149.51
Line.LINHA226,    39.6187,  -173.84,    39.6187,    66.16,    39.6188,   -53.84,          0,     0.00, 0.000163285,   -30.49,    39.6188,     6.16,    39.6188,  -113.84,    39.6189,   126.16,          0,     0.00, 0.000148445,   149.51
Line.LINHA227,    39.6188,  -173.84,    39.6188,    66.16,    39.6189,   -53.84,          0,     0.00, 0.000148445,   -30.49,    39.6189,     6.16,    39.6189,  -113.84,    39.6189,   126.16,          0,     0.00, 0.000133603,   149.51
Line.LINHA228,    39.6189,  -173.84,    39.6189,    66.16,    39.6189,   -53.84,          0,     0.00, 0.000133603,   -30.49,     39.619,     6.16,     39.619,  -113.84,     39.619,   126.16,          0,     0.00, 0.00011876,   149.51
Line.LINHA229,     39.619,  -173.84,     39.619,    66.16,     39.619,   -53.84,          0,     0.00, 0.00011876,   -30.49,    39.6191,     6.17,    39.6191,  -113.83,    39.6191,   126.17,          0,     0.00, 0.000103916,   149.51
Line.LINHA230, 0.00580188,    89.89, 0.00586141,   -29.89, 0.00579973,  -149.61,          0,     0.00, 0.000103916,   -30.49, 0.00497304,   -90.11, 0.00502406,   150.11,  0.0049712,    30.39,          0,     0.00, 8.90706E-005,   149.51
Line.LINHA231, 0.00497304,    89.89, 0.00502406,   -29.89,  0.0049712,  -149.61,          0,     0.00, 8.90704E-005,   -30.49,  0.0041442,   -90.11, 0.00418672,   150.11, 0.00414266,    30.39,          0,     0.00, 7.42254E-005,   149.51
Line.LINHA232,  0.0041442,    89.89, 0.00418672,   -29.89, 0.00414266,  -149.61,          0,     0.00, 7.42253E-005,   -30.49, 0.00331536,   -90.11, 0.00334938,   150.11, 0.00331413,    30.39,          0,     0.00, 5.93804E-005,   149.51
